code,edited description,short description
500,"Deficiency cited: Patient's rights. (500)
 
",PATIENTS RIGHTS
501,"Deficiency cited: Patient's rights. The patient has the right to be informed of his or her rights, and the hospice must 
protect and promote the exercise of these rights. (501)   

",PATIENTS RIGHTS
502,Deficiency cited: Notice of rights and responsibilities. During the initial assessment visit in advance of furnishing care the hospice must provide the patient or representative with verbal (meaning spoken) and written notice of the patient's rights and responsibilities in a language and manner that the patient understands. (502),NOTICE OF RIGHTS AND RESPONSIBILITIES
503,"Deficiency cited: Must comply with advance directives. The hospice must inform and distribute written information to the patient concerning its policies on advance directives, including a description of applicable State law. Advance directives generally refer to written statements or instructions, completed in advance of a serious illness, about how an individual wants medical decisions made.  (503)
",NOTICE OF RIGHTS AND RESPONSIBILITIES
504,"Deficiency cited: The hospice must obtain the patient’s or representative’s signature 
confirming that he or she has received a copy of the notice of rights and 
responsibilities. (504)",NOTICE OF RIGHTS AND RESPONSIBILITIES
505,"Deficiency cited:  Exercise of rights and respect for property and person. Patients must be free to exercise their rights without fear of reprisal from the hospice.  The hospice must not hamper, compel, treat differentially, or retaliate against a patient or family for exercising the patient’s rights. (505)

",EXERCISE OF RIGHTS/RESPECT FOR PROPRTY/PERSON
506,"Deficiency cited: Procedures and Probes. If a patient has been adjudged incompetent under state law by a 
court of proper jurisdiction, the rights of the patient are exercised by the person 
appointed pursuant to state law to act on the patient's behalf. (506)
",EXERCISE OF RIGHTS/RESPECT FOR PROPRTY/PERSON
507,"Deficiency cited: If a state court has not adjudged a patient incompetent, any legal 
representative designated by the patient in accordance with state law may exercise 
the patient’s rights to the extent allowed by state law. (507)
",EXERCISE OF RIGHTS/RESPECT FOR PROPRTY/PERSON
508,"Deficiency cited: The hospice must ensure that all alleged violations involving mistreatment, neglect, or verbal, 
mental, sexual, and physical abuse, including injuries of unknown source, 
and misappropriation of patient property by anyone furnishing services on 
behalf of the hospice, are reported immediately by hospice employees and 
contracted staff to the hospice administrator. (508)
",EXERCISE OF RIGHTS/RESPECT FOR PROPRTY/PERSON
509,"Deficiency cited: The hospice must immediately investigate all alleged violations involving anyone 
furnishing services on behalf of the hospice and immediately take action to prevent 
further potential violations while the alleged violation is being verified. 
Investigations and/or documentation of all alleged violations must be conducted in 
accordance with established procedures. (509)
",EXERCISE OF RIGHTS/RESPECT FOR PROPRTY/PERSON
510,"Deficiency cited: The hospice must take appropriate corrective action in accordance with state law 
if the alleged violation is verified by the hospice administration or an outside body 
having jurisdiction, such as the State survey agency or local law enforcement 
agency. (510)
",EXERCISE OF RIGHTS/RESPECT FOR PROPRTY/PERSON
511,"Deficiency cited: The hospice must ensure that verified violations are reported to State and local 
bodies having jurisdiction (including to the State Survey and Certification Agency) 
within 5 working days of becoming aware of the violation. (511)",EXERCISE OF RIGHTS/RESPECT FOR PROPRTY/PERSON
512,"Deficiency cited: Rights of the patient. The patient has a right to the following: Receive effective pain management and symptom control from the hospice for conditions related to the terminal illness. (512)
",RIGHTS OF THE PATIENT
513,"Deficiency cited: Rights of the patient. The patient has a right to be involved in developing his or her hospice plan of care. 
",RIGHTS OF THE PATIENT
514,"Deficiency cited: Rights of the patient. The patient has the right to refuse care or treatment. (514)
",RIGHTS OF THE PATIENT
515,Deficiency cited: Patient rights.The patient has the right to choose his or her attending physician. (515),RIGHTS OF THE PATIENT
516,Deficiency cited: Patient rights. The paient has a right to have a confidential clinical record. (516),RIGHTS OF THE PATIENT
517,"Deficiency cited: Patient rights. The paient has a right to be free from mistreatment, neglect, or verbal, mental, sexual, and physical abuse, including injuries of unknown source, and misappropriation of patient property. (517)
",RIGHTS OF THE PATIENT
518,Deficiency cited: Patient rights. The paient has a right to receive information about the services covered under the hospice benefit. (518),RIGHTS OF THE PATIENT
519,"Deficiency cited: Patient rights. The paient has a right to receive information about the scope of services that the hospice will provide and specific limitations on those services. (519)
",RIGHTS OF THE PATIENT
520,"Deficiency cited: Condition of participation. Initial and Comprehensive assessment of the 
patient (520)
",INITIAL & COMPREHENSIVE ASSESSMENT OF PATIENT
521,"Deficiency cited: The hospice must conduct and document in writing a patient-specific 
comprehensive assessment that identifies the patient’s need for hospice care and 
services, and the patient’s need for physical, psychosocial, emotional, and spiritual 
care.  This assessment includes all areas of hospice care related to the palliation and 
management of the terminal illness and related conditions. (521)
",INITIAL & COMPREHENSIVE ASSESSMENT OF PATIENT
522,"Deficiency cited: Initial assessment. The hospice registered nurse must complete an initial assessment within 48 hours after the election of hospice care in accordance with §418.24 is complete (unless the physician, patient, or representative requests that the initial assessment be completed in less than 48 hours.) (522)
",INITIAL ASSESSMENT
523,"Deficiency cited: Timeframe for completion of the comprehensive assessment. The hospice interdisciplinary group, in consultation with the individual’s attending physician (if any), must complete the comprehensive assessment no later than 5 calendar days after the election of hospice care in accordance with §418.24. (523)
",TIMEFRAME FOR COMPLETION OF ASSESSMENT
524,"Deficiency cited: Content of the comprehensive assessment. The comprehensive assessment must identify the physical, psychosocial, emotional, and spiritual needs related to the terminal illness that must be addressed in order to promote the hospice patient’s well-being, comfort, and dignity throughout the dying process. (524)
",CONTENT OF COMPREHENSIVE ASSESSMENT
525,"Deficiency cited: Content of the comprehensive assessment. The comprehensive assessment must take into consideration the nature and condition causing admission (including the presence or lack of objective data and subjective complaints). (525) 
",CONTENT OF COMPREHENSIVE ASSESSMENT
526,"Deficiency cited: Content of the comprehensive assessment. The comprehensive assessment must take into consideration complications and risk factors that affect care planning. (526)
",CONTENT OF COMPREHENSIVE ASSESSMENT
527,"Deficiency cited: Content of the comprehensive assessment. The comprehensive assessment must take into consideration functional status, including the patient’s ability to understand and participate in his or her own care. (527)
",CONTENT OF COMPREHENSIVE ASSESSMENT
528,"Deficiency cited: Content of the comprehensive assessment. The comprehensive assessment must take into consideration imminence of death. (528)
",CONTENT OF COMPREHENSIVE ASSESSMENT
529,"Deficiency cited: Procedures and Probes. Ask clinical staff to describe how they obtain all relevant information necessary to complete the comprehensive assessment. Is there evidence in the clinical record and during home visits that the reasons for admission, complications and risk factors that could affect care planning, functional status, imminence of death, and symptom severity have been identified and are being addressed? (529)",CONTENT OF COMPREHENSIVE ASSESSMENT
530,"Deficiency cited: Drug profile. A review of all of the patient's prescription and over-the-counter drugs, herbal remedies and other alternative treatments that could affect drug therapy.  This includes, but is not limited to, identification of the following: Drug therapy currently associated with laboratory monitoring. In reviewing the patient’s prescribed and over-the-counter medications and any additional substance that could affect drug therapy, the hospice must consider drug effectiveness, side effects, interactions of drugs, duplicate drugs and drugs associated with laboratory testing which could affect the patient. 
 
There should be evidence in the clinical record that common side effects of medications are anticipated and preventive measures are implemented.  The hospice should review  each patient’s medications and monitor for medication effectiveness, actual or potential medication-related effects, duplicate drug therapy and untoward interactions during each update to the comprehensive assessment, and as needed as new medications are added or changed, or the patient’s condition changes. (530_",CONTENT OF COMPREHENSIVE ASSESSMENT
531,"Deficiency cited: Bereavement. An initial bereavement assessment of the needs of the 
patient's family and other individuals focusing on the social, spiritual, and cultural 
factors that may impact their ability to cope with the patient's death.  

Although a bereavement plan is initiated after the death of the patient, prior to the death, 
the hospice must assess any grief/loss issues of the patient’s family through an initial 
bereavement risk assessment that is incorporated in the plan of care.  Bereavement issues 
continue to be part of the ongoing assessments, and the bereavement plan of care after 
death is based on all these assessments.  Bereavement services may be offered prior to the 
death when the initial assessment, comprehensive assessment, or updates to the 
assessment identifies the need for the patient/family. (531)
",CONTENT OF COMPREHENSIVE ASSESSMENT
532,Deficiency cited: The need for referrals and further evaluation by appropriate health professionals. (532),CONTENT OF COMPREHENSIVE ASSESSMENT
533,"Deficiency cited: Update of the comprehensive assessment.   
 
The update of the comprehensive assessment must be accomplished by the hospice 
interdisciplinary group (in collaboration with the individual’s attending physician, 
if any) and must consider changes that have taken place since the initial assessment. 
It must include information on the patient's progress toward desired outcomes, as 
well as a reassessment of the patient’s response to care.  The assessment update 
must be accomplished as frequently as the condition of the patient requires, but no 
less frequently than every 15 days. (533)",UPDATE OF COMPREHENSIVE ASSESSMENT
534,"Deficiency cited: Patient outcome measures. The comprehensive assessment must include data elements that allow for measurement of outcomes. The hospice must measure and document data in the same way for all patients. The data elements must take into consideration aspects of care related to hospice and palliation.  
  
Examples of data elements that would allow for the measurement of outcomes include, but are not limited to, patient reported data on outcomes of treatment for pain, dyspnea, nausea, vomiting, constipation, emotional distress, and spiritual needs.  For example, a hospice may choose to measure patients whose pain is controlled within 48 hours of admission. Incorporating a data element into the initial assessment and comprehensive assessment will identify the patients that had pain upon admission and identify the patients that had their pain controlled within 48 hours. (534)
",PATIENT OUTCOME MEASURES
535,"Deficiency cited: The data elements must be an integral part of the comprehensive 
assessment and must be documented in a systematic and retrievable way for each 
patient.  The data elements for each patient must be used in individual patient care 
planning and in the coordination of services, and must be used in the aggregate for 
the hospice’s quality assessment and performance improvement program. (535)
",PATIENT OUTCOME MEASURES
536,"Deficiency cited: Condition of participation. Interdisciplinary group, care planning, and coordination of services. (536)
","IDG, CARE PLANNING, COORDINATION OF SERVICES"
537,"Deficiency cited: Plan of care. The hospice must designate an interdisciplinary group or groups as 
specified in paragraph (a) of this section which, in consultation with the patient's 
attending physician, must prepare a written plan of care for each patient.  
 
The physician member of the IDG may be the hospice medical director or another hospice 
physician who is employed by or under contract with the hospice.  The nurse, social 
worker and counselor members of the IDG must be hospice employees or employees of 
the agency or organization of which the hospice is a sub-division (e.g., a hospital) who 
are appropriately trained and assigned to the hospice. (537)","IDG, CARE PLANNING, COORDINATION OF SERVICES"
