provider id,name,state,city,address,zip,ownership type - simple,ownership type - detailed,total surveys,date of last certification survey,date calculated,total deficiencies,complaint deficiencies,certification deficiencies,fms deficiencies
120462,BAPTIST HOSPICE,AL,MONTGOMERY,301 INTERSTATE PARK,36109,Other,Other,2,2010-11-19,2014-07-02,12,0,12,0
120463,NEW BEACON OF BIRMINGHAM,AL,TRUSSVILLE,"4725 NORRELL DRIVE, SUITE 129",35173,For-profit,PROPRIETARY/Corporation,1,2010-09-02,2014-07-02,7,1,6,0
120464,MERCY HOSPICE,AL,DAPHNE,101 VILLA DRIVE,36526,Non-profit,NON-PROFIT/Church,2,2013-05-09,2014-07-02,47,23,24,0
120465,SAAD HEALTHCARE,AL,MOBILE,"1515 UNIVERSITY BOULEVARD, SOUTH",36609,For-profit,PROPRIETARY/Corporation,2,2013-01-30,2014-07-02,37,11,26,0
120466,GADSDEN REGIONAL HOSPICE,AL,ATTALLA,82 INDUSTRIAL BOULEVARD,35954,For-profit,PROPRIETARY/Corporation,2,2014-03-21,2014-07-02,8,0,8,0
120467,HOSPICE FAMILY CARE,AL,HUNTSVILLE,3304 WESTMILL DRIVE SOUTHWEST,35805,Non-profit,NON-PROFIT/Other,1,2008-04-10,2014-07-02,5,0,5,0
120468,NEW BEACON OF JASPER,AL,JASPER,302 BLACKWELL DIARY ROAD,35504,For-profit,PROPRIETARY/Corporation,2,2013-07-12,2014-07-02,12,0,12,0
120470,NEW BEACON OF ANNISTON,AL,ANNISTON,"1419 LEIGHTON AVENUE, UNIT A",36207,Other,Other,2,2013-04-04,2014-07-02,13,0,13,0
120472,HOSPICE OF CULLMAN COUNTY,AL,CULLMAN,"1912 ALABAMA HWY 157, POB 1, 2ND FLOOR",35058,Non-profit,NON-PROFIT/Other,2,2011-04-14,2014-07-02,17,0,17,0
120473,"HOSPICE OF THE VALLEY, INC",AL,DECATUR,"216 JOHNSON STREET, SE  P O BOX 2745",35601,Non-profit,NON-PROFIT/Private,1,2009-04-30,2014-07-02,4,0,4,0
120474,NEW BEACON OF SCOTTSBORO,AL,SCOTTSBORO,1602 S BROAD STREET,35768,For-profit,PROPRIETARY/Corporation,1,2008-08-14,2014-07-02,0,0,0,0
120475,HOSPICE OF MARSHALL COUNTY/SHEPHERD'S COVE,AL,ALBERTVILLE,408 MARTLING ROAD,35951,Non-profit,NON-PROFIT/Other,2,2011-09-06,2014-07-02,39,0,39,0
120476,CARE FIRST HOSPICE,AL,BIRMINGHAM,"1400 URBAN CENTER DRIVE, SUITE 240",35242,For-profit,PROPRIETARY/Corporation,2,2013-08-08,2014-07-02,38,27,11,0
120478,HOSPICE OF LIMESTONE COUNTY,AL,ATHENS,"405 SOUTH MARION STREET, P O BOX 626",35611,Non-profit,NON-PROFIT/Private,2,2013-05-30,2014-07-02,14,0,14,0
120479,HOSPICE OF WEST ALABAMA,AL,TUSCALOOSA,3851 LOOP ROAD,35404,Non-profit,NON-PROFIT/Private,3,2011-11-02,2014-07-02,11,0,11,0
